"country","subregion","region","status","species","species_functional_group","marine_inland","scale","catch_avg_annuaL_tonnes","usd_per_kg","lmat","ca_rda","fe_rda","se_rda","zn_rda","vita_rda","om_rda","nutrient_density","cost_caloric_adequacy","usd_per_100g","cost_100g_relative_to_cheapest_daily_diet"
"Ghana","Western Africa","Africa","Lower middle income","Acanthurus chirurgus","Reef-associated fishes","Marine","Small-scale",687.658,1.49703199378359,12.3,4.31637005530996,4.54007307957711,40.9967856969044,36.7523329743488,2.22921304668689,14.9733331219962,103.808107974823,0.78,0.149703199378359,19.1927178690204
"Saint Vincent and the Grenadines","Caribbean","Americas","Upper middle income","Acanthurus chirurgus","Reef-associated fishes","Marine","Small-scale",0.144,5.79352028194761,12.3,4.31637005530996,4.54007307957711,40.9967856969044,36.7523329743488,2.22921304668689,14.9733331219962,103.808107974823,0.94,0.579352028194761,61.6331944888043
"Gambia","Western Africa","Africa","Low income","Acanthurus monroviae","Miscellaneous coastal fishes","Marine","Small-scale",40.9,1.1963537,26.5,17.1646361798128,4.51781357806586,100,50.5970422436268,2.27316536647626,36.3900357956562,210.942693163638,0.63,0.11963537,18.9897412698413
"Senegal","Western Africa","Africa","Lower middle income","Acanthurus monroviae","Miscellaneous coastal fishes","Marine","Small-scale",79.776,1.20984783511366,26.5,17.1646361798128,4.51781357806586,100,50.5970422436268,2.27316536647626,36.3900357956562,421.885386327276,0.49,0.120984783511366,24.6907721451767
"Mexico","North America","Americas","Upper middle income","Acanthurus xanthopterus","Reef-associated fishes","Marine","Small-scale",39.1698076925,1.58493752619364,35.5,4.51258202613211,2.37749251907944,100,40.5472618214444,6.26026974402371,11.5459545481807,165.24356065886,0.57,0.158493752619364,27.8059215121691
"Ghana","Western Africa","Africa","Lower middle income","Aetobatus narinari","Sharks, rays, chimaeras","Marine","Small-scale",3.029,1.51493370084701,111.8,2.15279919793849,2.76979606952152,100,12.8614073944033,2.10014389064997,40.4231610033662,160.30730755588,0.78,0.151493370084701,19.422226933936
"Mexico","North America","Americas","Upper middle income","Aetobatus narinari","Sharks, rays, chimaeras","Marine","Small-scale",190.558191525,0.734163153491497,111.8,2.15279919793849,2.76979606952152,100,12.8614073944033,2.10014389064997,40.4231610033662,160.30730755588,0.57,0.0734163153491497,12.8800553244122
"Mexico","North America","Americas","Upper middle income","Mixed","Sharks, rays, chimaeras","Inland","Small-scale",2.73075,0.687661509023191,105.3,1.48247630707753,2.58342329784132,84.3456266416203,13.4490712370107,3.28318828344572,31.3223467442072,136.466132511203,0.57,0.0687661509023191,12.0642370004069
"Mexico","North America","Americas","Upper middle income","Mixed","Sharks, rays, chimaeras","Marine","Small-scale",1278.20282475,0.59951796705,105.3,1.48247630707753,2.58342329784132,84.3456266416203,13.4490712370107,3.28318828344572,31.3223467442072,136.466132511203,0.57,0.059951796705,10.5178590710526
"Senegal","Western Africa","Africa","Lower middle income","Aetomylaeus bovinus","Sharks, rays, chimaeras","Marine","Small-scale",5.425,0.818835,108.4,2.57961220245519,3.46852377536473,100,13.760354689135,1.19171023933816,26.3421866013505,147.342387507644,0.49,0.0818835,16.7109183673469
"Mexico","North America","Americas","Upper middle income","Mixed","Miscellaneous coastal fishes","Inland","Small-scale",55.052075,1.44822435845775,30.52,9.07056349151172,2.89240987249042,100,20.2814380617619,5.66850955011536,30.9741502563023,168.887071232182,0.57,0.144822435845775,25.4074448852237
"Mexico","North America","Americas","Upper middle income","Mixed","Miscellaneous coastal fishes","Marine","Small-scale",28.3226666666667,0.7390645752,30.52,9.07056349151172,2.89240987249042,100,20.2814380617619,5.66850955011536,30.9741502563023,168.887071232182,0.57,0.07390645752,12.9660451789474
"Mexico","North America","Americas","Upper middle income","Albula argentea","Miscellaneous coastal fishes","Marine","Small-scale",9.7768,0.985341503166667,39.1,11.5971267753873,2.61261382407224,100,18.086566717684,2.58951752174848,24.592713772162,159.478538611054,0.57,0.0985341503166667,17.2866930380117
"Mexico","North America","Americas","Upper middle income","Albula nemoptera","Miscellaneous coastal fishes","Marine","Small-scale",1.40525,0.619900102975,29.5,20.0193614289789,3.86260763322786,100,25.8203248507126,3.23587295366268,52.0225311679595,204.960698034542,0.57,0.0619900102975,10.8754404030702
"Senegal","Western Africa","Africa","Lower middle income","Albula vulpes","Reef-associated fishes","Marine","Small-scale",31.158,0.710311157975002,42.4,3.03462636984316,3.38917959937129,94.2350982083226,18.4238711687507,5.34979469495828,38.8545677423963,326.574275567285,0.49,0.0710311157975002,14.4961460811225
"Turkey","Western Asia","Asia","Upper middle income","Mixed","Carps, barbels and other cyprinids","Inland","Small-scale",50,0.764600978068,28.9414414414414,10.8351320668833,2.23090635837431,50.5148040182159,26.1749266403585,10.8905237835173,83.5913009066128,184.237593773962,0.62,0.0764600978068,12.3322738398064
"Turkey","Western Asia","Asia","Upper middle income","Alburnus tarichi","Carps, barbels and other cyprinids","Inland","Small-scale",9108,1.112266274018,13,10.8351320668833,2.23090635837431,50.5148040182159,26.1749266403585,10.8905237835173,83.5913009066128,184.237593773962,0.62,0.1112266274018,17.9397786131935
"Gambia","Western Africa","Africa","Low income","Alectis alexandrina","Miscellaneous pelagic fishes","Marine","Small-scale",5.7,0.9200214,53.5,5.29032045718606,4.92447443435989,100,13.3539974256855,1.139824775611,33.9585298343459,317.334293854377,0.63,0.09200214,14.6035142857143
"Guinea","Western Africa","Africa","Low income","Alectis alexandrina","Miscellaneous pelagic fishes","Marine","Small-scale",2615.226,1.32258927417541,53.5,5.29032045718606,4.92447443435989,100,13.3539974256855,1.139824775611,33.9585298343459,317.334293854377,1.11,0.132258927417541,11.9152186862649
"Senegal","Western Africa","Africa","Lower middle income","Alectis alexandrina","Miscellaneous pelagic fishes","Marine","Small-scale",195.026,1.33641291074664,53.5,5.29032045718606,4.92447443435989,100,13.3539974256855,1.139824775611,33.9585298343459,317.334293854377,0.49,0.133641291074664,27.2737328723805
"Kenya","Eastern Africa","Africa","Lower middle income","Mixed","Miscellaneous freshwater fishes","Inland","Small-scale",417.447545999821,1.0934370102522,25.12,13.9258982589428,7.42916753016307,100,40.0870726222913,2.54765722462328,29.6911590361087,193.680954672129,0.57,0.10934370102522,19.1831054430211
"Senegal","Western Africa","Africa","Lower middle income","Mixed","Miscellaneous freshwater fishes","Inland","Small-scale",5.475,1.01264,25.12,13.9258982589428,7.42916753016307,100,40.0870726222913,2.54765722462328,29.6911590361087,193.680954672129,0.49,0.101264,20.6661224489796
"Congo DR","Middle Africa","Africa","Low income","Alestes baremoze","Miscellaneous freshwater fishes","Inland","Small-scale",10718.195,3.19304348,18.2,16.0483630636332,5.50152597047968,100,39.2206986553604,3.74427069279435,28.5428709538981,193.057729336166,0.36,0.319304348,88.6956522222222
"Gambia","Western Africa","Africa","Low income","Alestes baremoze","Miscellaneous freshwater fishes","Inland","Small-scale",9.6,0.74823155,18.2,16.0483630636332,5.50152597047968,100,39.2206986553604,3.74427069279435,28.5428709538981,193.057729336166,0.63,0.074823155,11.8766912698413
"Guinea","Western Africa","Africa","Low income","Alestes baremoze","Miscellaneous freshwater fishes","Inland","Small-scale",96.518344225,0.4895833333282,18.2,16.0483630636332,5.50152597047968,100,39.2206986553604,3.74427069279435,28.5428709538981,193.057729336166,1.11,0.04895833333282,4.41066066061442
"Senegal","Western Africa","Africa","Lower middle income","Alestes baremoze","Miscellaneous freshwater fishes","Inland","Small-scale",630.616666666667,0.85797287644656,18.2,16.0483630636332,5.50152597047968,100,39.2206986553604,3.74427069279435,28.5428709538981,193.057729336166,0.49,0.085797287644656,17.5096505397257
"Egypt","Northern Africa","Africa","Lower middle income","Alestes dentex","Miscellaneous freshwater fishes","Inland","Small-scale",3669.5,0.9358596388,19.5,11.908196488387,6.89535997073274,100,38.2172509721125,2.9615918704461,32.3369226271459,192.319321928824,0.98,0.09358596388,9.54958815102041
"Guinea","Western Africa","Africa","Low income","Alestes dentex","Miscellaneous freshwater fishes","Inland","Small-scale",96.518344225,0.4895833333282,19.5,11.908196488387,6.89535997073274,100,38.2172509721125,2.9615918704461,32.3369226271459,192.319321928824,1.11,0.04895833333282,4.41066066061442
"Senegal","Western Africa","Africa","Lower middle income","Alestes dentex","Miscellaneous freshwater fishes","Inland","Small-scale",357.0825,1.00431884885852,19.5,11.908196488387,6.89535997073274,100,38.2172509721125,2.9615918704461,32.3369226271459,192.319321928824,0.49,0.100431884885852,20.4963030379289
"Chad","Middle Africa","Africa","Low income","Mixed","Miscellaneous freshwater fishes","Inland","Small-scale",4.32,2.02389682270127,37.7,11.5296442118686,3.24689355599806,100,26.0961322573589,13.4878659099416,30.7930774760979,185.153613411265,0.37,0.202389682270127,54.6999141270614
"Mexico","North America","Americas","Upper middle income","Algansea popoche","Carps, barbels and other cyprinids","Marine","Small-scale",0.66225,0.509567575675,0.9,32.5879519947123,5.67537827456011,100,45.8445550529548,14.0403070459223,33.2624673840323,231.410659752182,0.57,0.0509567575675,8.93978202938596
"Maldives","Southern Asia","Asia","Upper middle income","Mixed","Sharks, rays, chimaeras","Marine","Small-scale",9,1.0788266899,190.966666666667,1.45205753586758,3.0167186326973,100,7.8456448799545,1.61580509799268,31.4244965491965,145.354722695709,0.88,0.10788266899,12.2593942034091
"Mexico","North America","Americas","Upper middle income","Mixed","Sharks, rays, chimaeras","Marine","Small-scale",0.189,1.339472762,190.966666666667,1.45205753586758,3.0167186326973,100,7.8456448799545,1.61580509799268,31.4244965491965,145.354722695709,0.57,0.1339472762,23.4995221403509
"Mexico","North America","Americas","Upper middle income","Alopias pelagicus","Sharks, rays, chimaeras","Marine","Small-scale",129.530964275,0.844915556875,153.6,2.05592362161966,2.45976423013908,100,9.56794055353025,2.11524425176158,24.3625917476625,140.561464404713,0.57,0.0844915556875,14.8230799451754
"Mexico","North America","Americas","Upper middle income","Alopias superciliosus","Sharks, rays, chimaeras","Marine","Small-scale",184.04254269,0.912767473782897,138.4,1.09950433288889,3.08459626813402,100,7.12173932925639,1.71722240536729,35.3816035241047,148.404665859751,0.57,0.0912767473782897,16.0134644523315
"Peru","South America","Americas","Upper middle income","Alopias vulpinus","Sharks, rays, chimaeras","Marine","Small-scale",565.4,1.87802449993333,280.9,1.20074465309418,3.50579539981878,100,6.84725475707685,1.01494863684918,34.5292943758224,147.098037822661,1.23,0.187802449993333,15.2684918693767
"Mexico","North America","Americas","Upper middle income","Aluterus scriptus","Reef-associated fishes","Marine","Small-scale",4.41847142857143,1.28194563655369,58.3,1.32649130026661,2.05664742206032,80.1223032209965,14.2122053023221,4.06291211126189,11.5286235040556,113.309182860963,0.57,0.128194563655369,22.4902743255033
"Congo DR","Middle Africa","Africa","Low income","Ameiurus melas","Freshwater catfishes","Marine","Small-scale",269.825,1.64778682,37.1,3.62247272023861,1.51851461587342,88.359310936233,14.3060782330988,3.51598079335327,67.9288654571026,179.2512227559,0.36,0.164778682,45.7718561111111
"Peru","South America","Americas","Upper middle income","Anchoa nasus","Herrings, sardines, anchovies","Marine","Small-scale",9670.091,0.65562959874,11.2,46.6013114864569,8.90247983738006,100,43.6115723864366,3.16085652722535,70.3615018901958,272.637722127695,1.23,0.065562959874,5.33032194097561
"Sri Lanka","Southern Asia","Asia","Lower middle income","Mixed","Carps, barbels and other cyprinids","Inland","Small-scale",63721,6.585920728,43.1181818181818,11.5296442118686,3.24689355599806,100,26.0961322573589,13.4878659099416,30.7930774760979,185.153613411265,0.76,0.6585920728,86.6568516842105
"Mexico","North America","Americas","Upper middle income","Mixed","Miscellaneous coastal fishes","Marine","Small-scale",8.45525,1.6239394615,27.7123595505618,6.93993777790615,2.50666807506424,100,16.5199336070139,7.3719667741934,18.1137519777918,151.452258211969,0.57,0.16239394615,28.4901659912281
"Mexico","North America","Americas","Upper middle income","Anisotremus davidsonii","Miscellaneous coastal fishes","Marine","Small-scale",0.7,1.829852722,33.1,7.53011232595997,3.90302517996096,100,13.1875412463729,1.21451298809249,27.9174587150026,153.752650455389,0.57,0.1829852722,32.1026793333333
"Mexico","North America","Americas","Upper middle income","Anisotremus interruptus","Reef-associated fishes","Marine","Small-scale",265.11856795,1.3336236085,29.3,3.16764511886614,1.45979143021535,100,19.2054473388666,14.7930133823629,10.7277614218806,149.353658692192,0.57,0.13336236085,23.3969054122807
"Brazil","South America","Americas","Upper middle income","Anisotremus surinamensis","Reef-associated fishes","Marine","Small-scale",89,0.02416918429,42,1.93051494656288,2.17450170459318,66.5834887221805,13.2288642360295,6.17606189438457,15.1646863610412,105.258117864792,0.68,0.002416918429,0.355429180735294
"Peru","South America","Americas","Upper middle income","Anodus elongatus","Miscellaneous freshwater fishes","Inland","Small-scale",226.768,1.3934954818,18.7,16.3190407137518,7.45192971279556,100,40.127049965044,9.49170261903654,27.4426344634205,200.832357474048,1.23,0.13934954818,11.3292315593496
"Mexico","North America","Americas","Upper middle income","Anoplopoma fimbria","Miscellaneous demersal fishes","Marine","Small-scale",20.05997472125,1.52339803619184,35.8,1.58793305254802,1.24379453324585,100,6.06395444108558,1.55734629519232,38.9118945047109,149.364922826783,0.57,0.152339803619184,26.7262813366989
"Egypt","Northern Africa","Africa","Lower middle income","Aphareus rutilans","Reef-associated fishes","Marine","Small-scale",98.2,3.48528368761286,42.4,2.1734399464651,1.59929600926786,100,15.0307433943561,16.9884515135678,12.7958508589786,148.587781722635,0.98,0.348528368761286,35.5641192613557
"Mexico","North America","Americas","Upper middle income","Apsilus dentatus","Reef-associated fishes","Marine","Small-scale",0.120633333333333,2.904643375,34.9,4.18627177350797,2.3760962967695,100,17.4109068941295,10.9291281982357,14.0610164680569,148.9634196307,0.57,0.2904643375,50.9586557017544
"Senegal","Western Africa","Africa","Lower middle income","Apsilus fuscus","Miscellaneous coastal fishes","Marine","Small-scale",242.506,2.1514272666058,41.5,6.48894203684762,3.21296524439454,100,13.4290051145074,2.21861232987535,33.7222472636009,159.071771989226,0.49,0.21514272666058,43.9066789103225
"Brazil","South America","Americas","Upper middle income","Arapaima gigas","Miscellaneous freshwater fishes","Inland","Small-scale",44.876,1.314,118.1,3.82397537798545,2.7481954813699,100,13.124573413707,3.68912734326064,26.688877543416,150.074749159739,0.68,0.1314,19.3235294117647
"Peru","South America","Americas","Upper middle income","Arapaima gigas","Miscellaneous freshwater fishes","Inland","Small-scale",728.82,3.28467387059999,118.1,3.82397537798545,2.7481954813699,100,13.124573413707,3.68912734326064,26.688877543416,150.074749159739,1.23,0.328467387059999,26.7046656146341
"Mexico","North America","Americas","Upper middle income","Archosargus probatocephalus","Reef-associated fishes","Inland","Small-scale",113.9303256475,1.84891849200976,26.9,3.00757475703192,3.48763516994889,85.5559214230052,18.9787361260183,4.43095183146923,36.4111470004122,151.871966307886,0.57,0.184891849200976,32.437166526487
"Mexico","North America","Americas","Upper middle income","Archosargus probatocephalus","Reef-associated fishes","Marine","Small-scale",569.906110625,1.69898211375,26.9,3.00757475703192,3.48763516994889,85.5559214230052,18.9787361260183,4.43095183146923,36.4111470004122,151.871966307886,0.57,0.169898211375,29.8067037499999
"Mexico","North America","Americas","Upper middle income","Archosargus rhomboidalis","Reef-associated fishes","Inland","Small-scale",0.06,0.3154918486,20.1,7.00399004756524,5.94077280555203,68.4546229002232,23.8912923351121,2.29658451724084,35.3087904624761,142.89605306817,0.57,0.03154918486,5.5349447122807
"Mexico","North America","Americas","Upper middle income","Archosargus rhomboidalis","Reef-associated fishes","Marine","Small-scale",77.4238074775,0.3275390079,20.1,7.00399004756524,5.94077280555203,68.4546229002232,23.8912923351121,2.29658451724084,35.3087904624761,142.89605306817,0.57,0.03275390079,5.74629838421053
"South Africa","Southern Africa","Africa","Upper middle income","Argyrosomus inodorus","Miscellaneous coastal fishes","Marine","Small-scale",285.2,6.62865,59.7,3.19822405400821,2.16672915689585,98.8815146929488,14.8100931715771,5.67280579514221,55.4274393259662,180.156806196538,0.62,0.662865,106.913709677419
"Egypt","Northern Africa","Africa","Lower middle income","Argyrosomus regius","Miscellaneous coastal fishes","Inland","Small-scale",129.2,3.205233049317,101.7,2.73378399722372,2.20195528551664,100,12.8903336177096,3.43660536990312,52.551678675943,173.814356946296,0.98,0.3205233049317,32.7064596869082
"Egypt","Northern Africa","Africa","Lower middle income","Argyrosomus regius","Miscellaneous coastal fishes","Marine","Small-scale",615,3.205233049317,101.7,2.73378399722372,2.20195528551664,100,12.8903336177096,3.43660536990312,52.551678675943,173.814356946296,0.98,0.3205233049317,32.7064596869081
"Gambia","Western Africa","Africa","Low income","Argyrosomus regius","Miscellaneous coastal fishes","Marine","Small-scale",49.025,1.8488418,101.7,2.73378399722372,2.20195528551664,100,12.8903336177096,3.43660536990312,52.551678675943,173.814356946296,0.63,0.18488418,29.3466952380952
"Ghana","Western Africa","Africa","Lower middle income","Argyrosomus regius","Miscellaneous coastal fishes","Marine","Small-scale",124.186333333333,1.48199315892418,101.7,2.73378399722372,2.20195528551664,100,12.8903336177096,3.43660536990312,52.551678675943,173.814356946296,0.78,0.148199315892418,18.9999122938997
"Guinea Bissau","Western Africa","Africa","Low income","Argyrosomus regius","Miscellaneous coastal fishes","Marine","Small-scale",8.186,1.360855524,101.7,2.73378399722372,2.20195528551664,100,12.8903336177096,3.43660536990312,52.551678675943,173.814356946296,0.86,0.1360855524,15.8239014418605
"Mauritania","Western Africa","Africa","Lower middle income","Argyrosomus regius","Miscellaneous coastal fishes","Marine","Small-scale",1978.7,2.16971779208587,101.7,2.73378399722372,2.20195528551664,100,12.8903336177096,3.43660536990312,52.551678675943,347.628713892592,0.82,0.216971779208587,26.4599730742179
"Senegal","Western Africa","Africa","Lower middle income","Argyrosomus regius","Miscellaneous coastal fishes","Marine","Small-scale",567.94,2.15199074825676,101.7,2.73378399722372,2.20195528551664,100,12.8903336177096,3.43660536990312,52.551678675943,347.628713892592,0.49,0.215199074825676,43.9181785358523
"Turkey","Western Asia","Asia","Upper middle income","Argyrosomus regius","Miscellaneous coastal fishes","Marine","Small-scale",7.0388,5.46895813842,101.7,2.73378399722372,2.20195528551664,100,12.8903336177096,3.43660536990312,52.551678675943,347.628713892592,0.62,0.546895813842,88.2090022325806
"South Africa","Southern Africa","Africa","Upper middle income","Argyrozona argyrozona","Miscellaneous coastal fishes","Marine","Small-scale",475.1,3.62504,45,3.30787005216169,2.80493333196393,100,13.3011443550067,5.9500331707752,31.692770043583,314.113501906981,0.62,0.362504,58.4683870967742
"Mexico","North America","Americas","Upper middle income","Mixed","Miscellaneous coastal fishes","Inland","Small-scale",2.320075,0.496318237146251,42.4483870967742,12.4966494087013,3.28897388918023,100,26.1481175470985,4.99865821557174,39.792012205646,186.724411266198,0.57,0.0496318237146251,8.70733749379387
"Ghana","Western Africa","Africa","Lower middle income","Mixed","Miscellaneous coastal fishes","Marine","Small-scale",3.77,1.55807990841599,42.4483870967742,12.4966494087013,3.28897388918023,100,26.1481175470985,4.99865821557174,39.792012205646,186.724411266198,0.78,0.155807990841599,19.9753834412306
"Mexico","North America","Americas","Upper middle income","Mixed","Miscellaneous coastal fishes","Marine","Small-scale",968.147419885,0.615237188080526,42.4483870967742,12.4966494087013,3.28897388918023,100,26.1481175470985,4.99865821557174,39.792012205646,186.724411266198,0.57,0.0615237188080526,10.7936348786057
"Senegal","Western Africa","Africa","Lower middle income","Ariopsis assimilis","Miscellaneous coastal fishes","Marine","Small-scale",7206.87,0.853998577392318,21.2,18.9462154077456,3.89431536601163,100,31.0935482755424,5.02403772057895,45.0316468488075,203.989763618686,0.49,0.0853998577392318,17.4285423957616
"Mexico","North America","Americas","Upper middle income","Ariopsis guatemalensis","Miscellaneous coastal fishes","Inland","Small-scale",28.938923051,0.805759809261176,32.3,10.1161017320547,2.53215766126257,100,27.6279779821879,9.16914448450433,41.7141604221342,191.159542282144,0.57,0.0805759809261176,14.136137004582
"Mexico","North America","Americas","Upper middle income","Ariopsis guatemalensis","Miscellaneous coastal fishes","Marine","Small-scale",710.944167825,1.18443038925,32.3,10.1161017320547,2.53215766126257,100,27.6279779821879,9.16914448450433,41.7141604221342,191.159542282144,0.57,0.118443038925,20.7794805131579
"Senegal","Western Africa","Africa","Lower middle income","Mixed","Miscellaneous coastal fishes","Inland","Small-scale",60.766,1.47354124894415,42.4483870967742,12.5112723660335,3.11149625485012,100,41.7223958071742,3.62143419923804,36.7816012754876,197.748199902783,0.49,0.147354124894415,30.0722703866154
"Gambia","Western Africa","Africa","Low income","Mixed","Miscellaneous coastal fishes","Marine","Small-scale",2104.54,3.42496968,42.4483870967742,12.5112723660335,3.11149625485012,100,41.7223958071742,3.62143419923804,36.7816012754876,197.748199902783,0.63,0.342496968,54.3645980952381
"Guinea","Western Africa","Africa","Low income","Mixed","Miscellaneous coastal fishes","Marine","Small-scale",8882.594,2.70202167212582,42.4483870967742,12.5112723660335,3.11149625485012,100,41.7223958071742,3.62143419923804,36.7816012754876,197.748199902783,1.11,0.270202167212582,24.3425375867191
"Nigeria","Western Africa","Africa","Lower middle income","Mixed","Miscellaneous coastal fishes","Inland","Small-scale",5086.2,2.90241733,37.7470588235294,11.5296442118686,3.24689355599806,100,26.0961322573589,13.4878659099416,30.7930774760979,185.153613411265,0.63,0.290241733,46.0701163492063
"Gambia","Western Africa","Africa","Low income","Arius latiscutatus","Miscellaneous coastal fishes","Inland","Small-scale",1462.725,3.44224925,40.8,11.305891001858,2.99439237600042,100,42.1926052156216,3.6299763495856,39.5142369346971,199.637101877763,0.63,0.344224925,54.638876984127
"Liberia","Western Africa","Africa","Low income","Arius latiscutatus","Miscellaneous coastal fishes","Marine","Small-scale",489.5,1.66692604985444,40.8,11.305891001858,2.99439237600042,100,42.1926052156216,3.6299763495856,39.5142369346971,199.637101877763,0.74,0.166692604985444,22.5260277007357
"Mauritania","Western Africa","Africa","Lower middle income","Arius latiscutatus","Miscellaneous coastal fishes","Marine","Small-scale",988.8,3.42496968,40.8,11.305891001858,2.99439237600042,100,42.1926052156216,3.6299763495856,39.5142369346971,199.637101877763,0.82,0.342496968,41.7679229268293
"Turkey","Western Asia","Asia","Upper middle income","Mixed","Flounders, halibuts, soles","Marine","Small-scale",1.3734,10.104487330036,16.2904761904762,16.7512537302705,4.65220419202913,100,20.2846592748673,4.00331075841716,32.2783897182127,177.969817673797,0.62,1.0104487330036,162.975602097355
"Senegal","Western Africa","Africa","Lower middle income","Arothron hispidus","Reef-associated fishes","Marine","Small-scale",164.59,2.49860708791543,29,5.51720041564314,2.5583450575321,100,27.3941099026472,9.07395540868157,20.2463485588352,164.789959343339,0.49,0.249860708791543,50.9919813860291
"Peru","South America","Americas","Upper middle income","Astronotus ocellatus","Tilapias and other cichlids","Inland","Small-scale",409.248,1.3934954818,26.8,11.0613380656925,4.31378058186902,100,38.852564530293,4.30907633721692,23.9216336437528,182.458393158824,1.23,0.13934954818,11.3292315593496
"Egypt","Northern Africa","Africa","Lower middle income","Mixed","Miscellaneous pelagic fishes","Inland","Small-scale",1600.8,2.79946387874911,8.525,18.6514980844752,5.92758303389784,72.7433484663441,27.5909251496139,5.29202049648781,28.1001432554576,158.305518486276,0.98,0.279946387874911,28.5659579464195
"Turkey","Western Asia","Asia","Upper middle income","Atherina boyeri","Miscellaneous pelagic fishes","Inland","Small-scale",5142.94,0.360973665124,10.5,17.6802705770889,4.8275640441612,97.5639589976592,29.751743924021,6.67207623194839,45.7289936013092,202.224607376188,0.62,0.0360973665124,5.82215588909677
"Egypt","Northern Africa","Africa","Lower middle income","Atherina hepsetus","Miscellaneous pelagic fishes","Inland","Small-scale",1262.6,2.79946387874911,12.9,18.634640119407,7.3745460730804,73.5222687172613,35.099651921709,5.61473034949878,52.4526891217252,192.698526302682,0.98,0.279946387874911,28.5659579464195
"Turkey","Western Asia","Asia","Upper middle income","Mixed","Miscellaneous pelagic fishes","Marine","Small-scale",48.3604,3.72252999942201,8.525,17.3282702395242,4.63120650431543,85.7139324683269,35.8454443568787,23.2367419398188,31.2301685229111,395.97152806355,0.62,0.372252999942201,60.0408064422904
"Mexico","North America","Americas","Upper middle income","Atherinopsis californiensis","Miscellaneous pelagic fishes","Marine","Small-scale",32.3873091866667,1.28185317283333,26.5,9.43796546562541,5.96729476589975,100,24.4186037700358,1.30799832565684,23.6396885295967,164.771550856814,0.57,0.128185317283333,22.4886521549708
"South Africa","Southern Africa","Africa","Upper middle income","Atractoscion aequidens","Miscellaneous coastal fishes","Marine","Small-scale",255.6,6.00722,61.1,6.1374001942526,2.17421462136961,100,14.4184400121976,5.30718134766378,20.6151764648053,297.304825280578,0.62,0.600722,96.8906451612903
